	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
1	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
2	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
3	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
4	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
5	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
6	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
7	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
8	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
9	0.00097	-0.496184	0.232481	0.00278	-0.001424	-0.000676	0.15669099999999503	0.4375519999999966	0.5035170000000022	0.6031241645183784	0.3541845884485882
10	-0.256488	-0.685227	0.756736	0.003223	-0.004019	-0.001203	0.4523010000000056	0.5800789999999978	0.49699699999999325	0.7918734269484049	0.3692116642036012
11	-0.215788	-0.880054	0.832516	0.003019	-0.004262	-0.00198	0.5357120000000037	0.7057229999999919	0.4246880000000033	0.8737776078007441	0.4516463162475618
12	-0.274984	-0.494332	0.545463	0.000812	-0.004452	-0.00166	0.5432050000000004	0.34637999999999636	0.3963979999999978	0.6695327026142914	0.31808695111941043
13	-0.497772	-0.395434	0.556934	0.000531	-0.005143	-0.000801	0.6273599999999817	0.3236139999999921	0.4728550000000027	0.7876321604924285	0.396862543592874
14	-0.42591	-0.502822	0.614321	0.001868	-0.00436	-0.000987	0.5848399999999998	0.4139849999999825	0.4584390000000056	0.7914124805365375	0.3758642445498036
15	-0.389779	-0.368469	0.44172	0.000264	-0.004231	-0.001046	0.5570020000000113	0.2801720000000074	0.3839090000000027	0.6661050280714006	0.3375693588264624
16	-0.360424	-0.631119	0.604941	0.000468	-0.005218	-0.002437	0.7444059999999979	0.4295359999999988	0.4286960000000022	0.8469216995289263	0.41653454264619455
17	-0.4243	-0.444015	0.567066	-0.000728	-0.00574	-0.002069	0.7473620000000096	0.37102899999997874	0.4412240000000054	0.8019497148163155	0.38229004380833714
18	-0.411417	-0.551847	0.676924	-9.7e-05	-0.005562	-0.002298	0.7654770000000042	0.3970779999999934	0.35932900000000245	0.8435777019107368	0.3956229644017134
19	-0.345331	-0.489182	0.528282	-0.00095	-0.005257	-0.002641	0.7537949999999967	0.3984700000000032	0.368481999999986	0.8041602787535547	0.3714034904709426
20	-0.422362	-0.289276	0.41887	-0.002735	-0.006145	-0.002951	0.870962999999989	0.38844100000000026	0.49925700000000006	0.9047030615019361	0.39101002880361757
21	-0.417742	-0.132747	0.28302	-0.00409	-0.006024	-0.002958	0.867414000000025	0.4128550000000075	0.5184059999999988	0.939414680479826	0.3984508970588185
22	-0.485618	0.109029	0.114284	-0.004734	-0.005471	-0.002191	0.816631000000001	0.48372899999998253	0.5521839999999969	0.9409932269325801	0.4001186931574156
23	-0.480612	0.037316	0.24304	-0.004482	-0.005852	-0.002348	0.8402480000000025	0.44391500000000406	0.5034400000000119	0.9537456138032816	0.38769262071389765
24	-0.536077	0.067759	0.319457	-0.004688	-0.006168	-0.002329	0.8931210000000078	0.4737609999999961	0.5437450000000013	1.0405687468716511	0.4123616264985012
25	-0.524468	0.132339	0.334239	-0.004806	-0.005862	-0.002168	0.859987000000018	0.5103569999999991	0.6101600000000076	1.0583445702860712	0.41653605140853306
26	-0.581532	0.202128	0.468577	-0.004588	-0.005897	-0.001741	0.8600920000000087	0.5081279999999992	0.7088469999999916	1.1202360844683612	0.46244881732468135
27	-0.395158	-0.032034	0.489399	-0.003743	-0.004822	-0.00233	0.769385999999983	0.37748600000000465	0.688114000000013	1.00392472036701	0.460967940828865
28	-0.438178	0.023027	0.470703	-0.003622	-0.004504	-0.001852	0.7375739999999951	0.34902200000001926	0.6790179999999992	0.9778941188932418	0.4693325358474563
29	-0.240165	-0.738875	1.369446	0.004368	-0.001943	-0.00116	0.430720000000008	0.6400280000000009	0.9835970000000032	1.0932506014286	0.7555041321197344
30	-0.209083	-0.788709	1.34771	0.004892	-0.001547	-0.001099	0.389528999999996	0.6954820000000268	0.9836420000000032	1.1041834024603925	0.741705954079515
31	-0.121708	-1.027244	1.637083	0.006115	-0.001897	-0.001868	0.4284800000000075	0.868392	1.1853459999999956	1.3166680240671933	0.8616016008980069
